文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-16 19:00:32,功能、属、性味、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,1.0
一叶萩 Yiyeqiu.txt,2025-05-16 19:00:56,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.8571428571428571
一品红 Yipinhong.txt,2025-05-16 19:01:19,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.8571428571428571
一把伞南星 Yibasannanxing.txt,2025-05-16 19:01:55,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-16 19:02:24,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
一点红 Yidianhong.txt,2025-05-16 19:02:56,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
丁香 Dingxiang.txt,2025-05-16 19:03:37,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-16 19:03:59,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
七叶树 Qiyeshu.txt,2025-05-16 19:04:33,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
万寿竹 Wanshouzhu.txt,2025-05-16 19:05:16,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、功能、属于属、属于科、药用部位为、记载于文献,1.0
万寿菊 Wanshouju.txt,2025-05-16 19:05:35,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
万年青 Wannianqing.txt,2025-05-16 19:06:31,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三七 Sanqi.txt,2025-05-16 19:07:08,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、功能、属于属、属于科、药用部位为、记载于文献,1.0
三分三 Sanfensan.txt,2025-05-16 19:07:57,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三叉苦 Sanchaku.txt,2025-05-16 19:08:36,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三叶木通 Sanyemutong.txt,2025-05-16 19:09:19,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、功能、属于属、属于科、属于药用植物、性味、药用部位为、记载于文献,0.6
三白草 Sanbaicao.txt,2025-05-16 19:10:23,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
三色堇 Sansejin.txt,2025-05-16 19:10:42,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.6
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-16 19:11:21,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、属于药用植物、药用部位为、记载于文献,0.8
东方罂粟 Dongfangyingsu.txt,2025-05-16 19:11:46,功能、属、疾病、科、药用植物、药用部位,0.75,主治疾病、具有功能、属于属、属于科、药用部位为,0.5
丝棉木 Simianmu.txt,2025-05-16 19:13:01,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
丝瓜 Sigua.txt,2025-05-16 19:13:28,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、属于药用植物、药用部位为、记载于文献,0.8
两面针 Liangmainzhen.txt,2025-05-16 19:14:06,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
中华猕猴桃 Zhonghuamihoutao.txt,2025-05-16 19:15:23,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、属于属、属于科、性味、药用部位为、记载于文献,0.7
中国无忧花 Zhongguowuyouhua.txt,2025-05-16 19:15:44,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、属于药用植物、药用部位为,0.7
中国沙棘 Zhongguoshaji.txt,2025-05-16 19:16:14,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
中麻黄 Zhongmahuang.txt,2025-05-16 19:17:06,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
丹参 Danshen.txt,2025-05-16 19:18:14,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
乌头 Chuanwutou.txt,2025-05-16 19:18:43,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7
乌头叶蛇葡萄 Wutouyesheputao.txt,2025-05-16 19:19:14,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8888888888888888,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌桕 Wujiu.txt,2025-05-16 19:21:08,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌毛蕨 Wumaojue.txt,2025-05-16 19:21:42,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌药 Wuyao.txt,2025-05-16 19:22:14,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌蔹莓 Wulianmei.txt,2025-05-16 19:22:46,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乌蕨 Wujue.txt,2025-05-16 19:23:33,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7272727272727273
九头狮子草 Jiutoushizhicao.txt,2025-05-16 19:24:05,中药名、功能、属、性味、文献、科、药用部位,0.7777777777777778,具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.5454545454545454
九里香 Jiulixiang.txt,2025-05-16 19:24:46,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
买麻藤 Maimateng.txt,2025-05-16 19:25:15,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
乳茄 Ruqie.txt,2025-05-16 19:25:38,中药名、功能、属、性味、疾病、科、药用植物、药用部位,0.8888888888888888,中药名、主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.6363636363636364
了哥王 Liaogewang.txt,2025-05-16 19:26:59,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、属于属、属于科、性味、药用部位为、记载于文献,0.6363636363636364
二色补血草 Ersebuxuecao.txt,2025-05-16 19:27:38,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
云南重楼 Chonglong.txt,2025-05-16 19:27:56,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.6363636363636364
云木香 Yunmuxiang.txt,2025-05-16 19:28:21,中药名、功能、属、性味、用法、疾病、科、药用部位,0.7,主治疾病、具有功能、属于属、属于科、性味、用法、药用部位为,0.5
五味子 Wuweizi.txt,2025-05-16 19:29:09,中药名、功能、属、性味、文献、用法、疾病、科、药用部位,0.9,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、记载于文献,0.6666666666666666
五爪金龙 Wuzhaojinlong.txt,2025-05-16 19:29:39,中药名、功能、属、性味、文献、疾病、科、药用部位,0.8,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.5833333333333334
