文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-16 19:06:47,属、科、药用植物、药用部位,0.5,具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.6
一叶萩 Yiyeqiu.txt,2025-05-16 19:07:02,属、科、药用植物、药用部位,0.5,具有性味、属于属、属于科、药用部位为,0.4
一品红 Yipinhong.txt,2025-05-16 19:07:19,属、科、药用植物、药用部位,0.5,具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.6
一把伞南星 Yibasannanxing.txt,2025-05-16 19:07:38,名称、属、科、药用植物、药用部位,0.4444444444444444,具有性味、具有毒性、属于属、属于科、药用部位为,0.5
一枝黄花 Yizhihuanghua.txt,2025-05-16 19:07:52,属、药用植物,0.2222222222222222,主治疾病、具有性味、属于科,0.3
一点红 Yidianhong.txt,2025-05-16 19:08:13,属、科、药用植物、药用部位,0.4444444444444444,主治疾病、具有功能、具有性味、属于属、药用部位为,0.5
丁香 Dingxiang.txt,2025-05-16 19:08:33,名称、属、科、药用植物、药用部位,0.5555555555555556,功能、属于属、记载于文献,0.3
七叶一枝花 Qiyeyizhihua.txt,2025-05-16 19:08:50,属、科、药用植物,0.3333333333333333,具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.6
七叶树 Qiyeshu.txt,2025-05-16 19:09:07,属、科、药用植物,0.3333333333333333,主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.7
万寿竹 Wanshouzhu.txt,2025-05-16 19:09:25,属、科、药用植物、药用部位,0.4444444444444444,主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.7
万寿菊 Wanshouju.txt,2025-05-16 19:09:44,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、药用部位为、记载于文献,0.8
万年青 Wannianqing.txt,2025-05-16 19:10:02,主治用法、属、性味功能、科、药用植物、药用部位,0.36363636363636365,具有功能清热解毒，强心利尿，凉血止血、具有性味苦、微甘，寒，有小毒、属于属、属于科、药用部位为根及根茎,0.15384615384615385
三七 Sanqi.txt,2025-05-16 19:10:17,中药名、科,0.08333333333333333,主治疾病、具有性味功能、属于中药名,0.06666666666666667
三分三 Sanfensan.txt,2025-05-16 19:10:29,中药名、属,0.16666666666666666,属于中药名、属于属,0.13333333333333333
三叉苦 Sanchaku.txt,2025-05-16 19:10:43,属、科、药用植物,0.25,属于属、属于科,0.13333333333333333
三叶木通 Sanyemutong.txt,2025-05-16 19:11:02,属、科、药用植物、药用部位,0.3333333333333333,具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.4
三白草 Sanbaicao.txt,2025-05-16 19:11:20,属、科、药用植物、药用部位,0.3333333333333333,具有功能、具有性味、属于属、属于科、药用部位为,0.3333333333333333
三色堇 Sansejin.txt,2025-05-16 19:11:34,中药名、药用部位,0.16666666666666666,属于中药名、药用部位为,0.13333333333333333
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-16 19:11:49,中药名、属、科,0.25,属于中药名、属于属、药用部位为根茎,0.125
东方罂粟 Dongfangyingsu.txt,2025-05-16 19:12:02,中药名、属、科,0.25,属于中药名、属于属,0.125
丝棉木 Simianmu.txt,2025-05-16 19:12:15,属、科、药用植物、药用部位,0.3333333333333333,主治疾病、具有功能,0.125
丝瓜 Sigua.txt,2025-05-16 19:12:28,属、科、药用植物,0.25,属于属、属于科、药用部位为根及根茎,0.1875
两面针 Liangmainzhen.txt,2025-05-16 19:12:41,中药名、名称、药用部位,0.25,具有功能、具有性味、属于中药名,0.1875
中华猕猴桃 Zhonghuamihoutao.txt,2025-05-16 19:13:09,中药名、功能、属、属于中药名、属于属、性味、科、药用部位、记载于文献,0.4,主治疾病、具有性味功能、属于中药名、属于属、属于科、性味苦、微甘，寒，有小毒、药用部位为根及根茎、记载于文献,0.4117647058823529
中国无忧花 Zhongguowuyouhua.txt,2025-05-16 19:13:21,属、科、药用植物,0.2,属于中药名、记载于文献,0.11764705882352941
中国沙棘 Zhongguoshaji.txt,2025-05-16 19:13:33,中药名、属、科,0.2,属于中药名、属于属,0.11764705882352941
中麻黄 Zhongmahuang.txt,2025-05-16 19:13:54,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.5333333333333333,主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、药用部位为、记载于文献,0.47058823529411764
丹参 Danshen.txt,2025-05-16 19:14:08,中药名、科,0.13333333333333333,属于中药名、属于科,0.11764705882352941
乌头 Chuanwutou.txt,2025-05-16 19:14:23,中药名、属、科、药用部位,0.26666666666666666,属于中药名、属于属,0.11764705882352941
乌头叶蛇葡萄 Wutouyesheputao.txt,2025-05-16 19:14:37,文献、药用植物、药用部位,0.2,属于属、属于科、药用部位为,0.17647058823529413
乌毛蕨 Wumaojue.txt,2025-05-16 19:15:14,属、科、药用植物、药用部位,0.26666666666666666,主治疾病、具有功能、具有性味、具有毒性、属于中药名、属于属、药用部位为,0.4117647058823529
乌药 Wuyao.txt,2025-05-16 19:15:32,中药名、科,0.13333333333333333,主治疾病、具有性味功能,0.11764705882352941
乌蔹莓 Wulianmei.txt,2025-05-16 19:16:01,中药名、主治用法、属、属于中药名、属于属、性味功能、科、药用部位,0.5333333333333333,具有功能、属于中药名,0.11764705882352941
乌蕨 Wujue.txt,2025-05-16 19:16:17,属、科、药用植物、药用部位,0.26666666666666666,属于属、属于科、药用部位为根茎,0.17647058823529413
九头狮子草 Jiutoushizhicao.txt,2025-05-16 19:16:38,属、科、药用植物、药用部位,0.26666666666666666,主治疾病、属于属、属于科、药用部位为,0.23529411764705882
九里香 Jiulixiang.txt,2025-05-16 19:16:56,中药名、功能、属、性味、科、药用部位,0.4,具有性味、属于中药名、属于属、药用部位为,0.23529411764705882
买麻藤 Maimateng.txt,2025-05-16 19:17:14,属、性味、疾病、科、药用植物、药用部位,0.4,主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.4117647058823529
乳茄 Ruqie.txt,2025-05-16 19:17:26,中药名,0.06666666666666667,属于中药名、属于属,0.11764705882352941
了哥王 Liaogewang.txt,2025-05-16 19:17:41,属、科、药用植物、药用部位,0.26666666666666666,属于属、属于科、药用部位为,0.17647058823529413
二色补血草 Ersebuxuecao.txt,2025-05-16 19:17:54,属、性味功能、科、药用植物、药用部位,0.3333333333333333,属于中药名、属于属、药用部位为,0.17647058823529413
云南重楼 Chonglong.txt,2025-05-16 19:18:09,属、科、药用植物、药用部位,0.26666666666666666,属于中药名、属于属、性味功能、药用部位为,0.16666666666666666
云木香 Yunmuxiang.txt,2025-05-16 19:18:24,属、科、药用植物、药用部位,0.26666666666666666,具有性味、属于中药名、属于属、药用部位为,0.2222222222222222
五味子 Wuweizi.txt,2025-05-16 19:18:49,中药名、主治用法、属、性味功能、科、药用部位,0.4,具有功能、具有性味、具有毒性、属于中药名、属于属、药用部位为,0.3333333333333333
五爪金龙 Wuzhaojinlong.txt,2025-05-16 19:19:05,中药名、属、科、药用植物,0.26666666666666666,具有功能清热解毒，强心利尿，凉血止血、属于属、药用部位为,0.16666666666666666
五色梅 Wusemei.txt,2025-05-16 19:19:25,属、科、药用植物、药用部位,0.26666666666666666,属于属、属于科,0.1111111111111111
亚麻 Yama.txt,2025-05-16 19:19:38,科、药用植物,0.13333333333333333,属于属、属于科,0.1111111111111111
人参 Renshen.txt,2025-05-16 19:20:01,中药名、主治用法、功能、属、性味功能、科、药用部位,0.4666666666666667,具有性味功能、属于中药名、属于属、药用部位为,0.2222222222222222
人心果 Renxinguo.txt,2025-05-16 19:20:14,中药名、属、科,0.2,属于中药名、属于属、药用部位为,0.16666666666666666
仙人掌 Xianrenzhang.txt,2025-05-16 19:20:40,属、科、药用植物、药用部位,0.26666666666666666,属于中药名、属于属,0.1111111111111111
仙茅 Xianmao.txt,2025-05-16 19:20:56,中药名、属、科、药用部位,0.26666666666666666,属于中药名、属于属、药用部位为,0.16666666666666666
代代花 Daidaihua.txt,2025-05-16 19:21:09,中药名、属、科、药用部位,0.26666666666666666,属于中药名、属于属,0.1111111111111111
仪花 Yihua.txt,2025-05-16 19:21:23,属、药用植物,0.13333333333333333,具有性味、具有毒性、属于科,0.16666666666666666
伏生紫堇 Fushengzijin.txt,2025-05-16 19:21:38,药用植物,0.06666666666666667,主治疾病、具有性味、属于属、属于科、药用部位为,0.2777777777777778
伏石蕨 Fushijue.txt,2025-05-16 19:21:52,科、药用植物,0.13333333333333333,属于属、属于科,0.1111111111111111
伞房花耳草 Sanfanghuaercao.txt,2025-05-16 19:22:12,主治用法、属、性味、性味功能、疾病、科、药用植物、药用部位,0.5333333333333333,主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、药用部位为,0.3888888888888889
何首乌 Heshouwu.txt,2025-05-16 19:22:32,中药名、名称、属、科、药用部位,0.3333333333333333,具有性味、属于属、属于科、药用部位为,0.2222222222222222
余甘子 Yuganzi.txt,2025-05-16 19:22:44,中药名、科,0.13333333333333333,属于中药名、属于属,0.1111111111111111
佛手 Foshou.txt,2025-05-16 19:23:01,中药名、属、科、药用部位,0.26666666666666666,属于中药名、属于属、药用部位为,0.16666666666666666
佛手瓜 Foshugua.txt,2025-05-16 19:23:13,属、科、药用植物,0.2,属于中药名,0.05555555555555555
佛甲草 Fojiacao.txt,2025-05-16 19:23:34,属、科、药用植物、药用部位,0.26666666666666666,具有功能、具有性味、属于中药名、属于属、药用部位为,0.2777777777777778
佛肚树 Fodushu.txt,2025-05-16 19:23:50,属、科、药用植物,0.2,属于中药名、属于属、药用部位为,0.16666666666666666
佩兰 Peilian.txt,2025-05-16 19:24:01,中药名、属、药用部位,0.2,属于中药名、属于属,0.1111111111111111
使君子 Shijuzi.txt,2025-05-16 19:24:13,中药名、属、科,0.2,属于中药名、属于属,0.1111111111111111
侧柏 Cebai.txt,2025-05-16 19:24:32,主治用法、属、性味功能、科、药用植物、药用部位,0.4,属于中药名、属于属、性味功能,0.16666666666666666
倒地铃 Daodiling.txt,2025-05-16 19:24:45,科、药用植物,0.13333333333333333,属于属、属于科,0.1111111111111111
倒提壶 Daotihu.txt,2025-05-16 19:24:59,科、药用植物,0.13333333333333333,属于属、属于科,0.1111111111111111
假地豆 Jiadidou.txt,2025-05-16 19:25:18,中药名、科,0.13333333333333333,具有功能、具有性味功能、具有毒性、属于中药名、属于属、药用部位为,0.3333333333333333
假苹婆 Jiapingpo.txt,2025-05-16 19:25:31,属、科、药用植物,0.2,属于属、属于科,0.1111111111111111
假蒟 Jiaju.txt,2025-05-16 19:25:52,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.5333333333333333,主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、药用部位为、记载于文献,0.4444444444444444
假连翘 Jialianqiao.txt,2025-05-16 19:26:07,属、科、药用植物、药用部位,0.26666666666666666,具有主治用法、具有性味、属于中药名、属于属,0.15789473684210525
元宝槭 Yuanbaoqi.txt,2025-05-16 19:26:15,中药名、药用部位,0.13333333333333333,属于中药名、记载于文献,0.10526315789473684
光叶海桐 Guangyehaitong.txt,2025-05-16 19:26:30,科、药用植物,0.13333333333333333,属于属、属于科,0.10526315789473684
光棍树 Guanggunshu.txt,2025-05-16 19:26:44,中药名、科,0.13333333333333333,属于属、属于科,0.10526315789473684
兔儿伞 Tuersan.txt,2025-05-16 19:26:58,主治用法、名称、属、性味功能、科、药用植物、药用部位,0.4666666666666667,属于中药名、记载于文献,0.10526315789473684
党参 Dangshen.txt,2025-05-16 19:27:24,中药名、属、科、药用部位,0.26666666666666666,属于中药名、属于属、属于科、药用部位为,0.21052631578947367
八角枫 Bajiaofeng.txt,2025-05-16 19:27:39,属、科、药用植物、药用部位,0.26666666666666666,属于中药名、属于属,0.10526315789473684
八角茴香 Bajiaohuixiang.txt,2025-05-16 19:27:53,中药名、属,0.13333333333333333,属于中药名、属于属,0.10526315789473684
八角金盘 Bajiaojinpan.txt,2025-05-16 19:28:11,中药名、主治用法、属、性味功能、疾病、科、药用部位,0.4666666666666667,属于中药名、属于属、药用部位为,0.15789473684210525
六棱菊 Liulengju.txt,2025-05-16 19:28:27,功能、属、性味功能、疾病、科、药用植物、药用部位,0.4666666666666667,具有主治用法、具有功能、属于中药名,0.15789473684210525
六道木 Liudaomu.txt,2025-05-16 19:28:43,属、性味、科、药用植物、药用部位,0.3333333333333333,属于属、属于科、药用部位为,0.15789473684210525
兰香草 Lanxiangcao.txt,2025-05-16 19:28:56,中药名、属、科,0.2,属于中药名、属于属,0.10526315789473684
