文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一叶萩 Yiyeqiu.txt,2025-05-23 21:36:49,属、疾病、科、药材、药用植物、药用部位,0.0,属于属、属于科、治疗、药用部位,0.0
一把伞南星 Yibasannanxing.txt,2025-05-23 21:36:53,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-23 21:36:57,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
一点红 Yidianhong.txt,2025-05-23 21:37:01,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
丁香 Dingxiang.txt,2025-05-23 21:37:05,属、疾病、科、药材、药用部位,0.8333333333333334,属于属、属于科、治疗、药用部位,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-23 21:37:08,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
七叶树 Qiyeshu.txt,2025-05-23 21:37:12,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗,0.75
万寿竹 Wanshouzhu.txt,2025-05-23 21:37:15,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
万寿菊 Wanshouju.txt,2025-05-23 21:37:24,属、疾病、科、药用植物、药用部位,0.8333333333333334,属于属、属于科、治疗、药用部位,1.0
万年青 Wannianqing.txt,2025-05-23 21:37:28,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
三分三 Sanfensan.txt,2025-05-23 21:37:32,属、疾病、科、药材、药用部位,0.8333333333333334,属于属、属于科、治疗、药用部位,1.0
三叉苦 Sanchaku.txt,2025-05-23 21:37:36,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
三叶木通 Sanyemutong.txt,2025-05-23 21:37:42,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
三白草 Sanbaicao.txt,2025-05-23 21:37:45,属、疾病、科、药用植物、药用部位,0.8333333333333334,属于属、属于科、治疗、药用部位,1.0
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-23 21:37:49,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
丝棉木 Simianmu.txt,2025-05-23 21:37:54,属、疾病、科、药材、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
