文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一叶萩 Yiyeqiu.txt,2025-05-23 21:39:25,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
一把伞南星 Yibasannanxing.txt,2025-05-23 21:39:29,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-23 21:39:33,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
一点红 Yidianhong.txt,2025-05-23 21:39:37,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
丁香 Dingxiang.txt,2025-05-23 21:39:41,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-23 21:39:44,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
七叶树 Qiyeshu.txt,2025-05-23 21:39:53,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
万寿竹 Wanshouzhu.txt,2025-05-23 21:39:57,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
万寿菊 Wanshouju.txt,2025-05-23 21:40:01,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
万年青 Wannianqing.txt,2025-05-23 21:40:05,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
三分三 Sanfensan.txt,2025-05-23 21:40:09,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
三叉苦 Sanchaku.txt,2025-05-23 21:40:13,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
三叶木通 Sanyemutong.txt,2025-05-23 21:40:20,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,1.0
