一串红 Yichuanhong.txt,2025-05-13 10:25:17,药用植物,0.0,主治症状,0.0
一叶萩 Yiyeqiu.txt,2025-05-13 10:26:04,药用植物,0.5,主治症状,1.0
一品红 Yipinhong.txt,2025-05-13 10:26:39,药用植物,0.5,主治症状,1.0
一把伞南星 Yibasannanxing.txt,2025-05-13 10:27:51,药用植物,0.5,中药名、主治症状、应用举例、性味功能、生境分布、科属归类、药用部位、采收加工,0.125
一枝黄花 Yizhihuanghua.txt,2025-05-13 10:29:31,药用植物,0.5,中药名、主治症状、应用举例、性味功能、生境分布、科属归类、药用部位,0.875
一点红 Yidianhong.txt,2025-05-13 10:31:11,药用植物,0.5,中药名、主治症状、应用举例、性味功能、生境分布、科属归类、药用部位、采收加工,1.0
丁香 Dingxiang.txt,2025-05-13 10:33:49,药用植物,1.0,主治症状、应用举例、性味功能、生境分布、科属归类、药用部位、采收加工,0.875
七叶一枝花 Qiyeyizhihua.txt,2025-05-13 10:34:48,中药名、药用植物,0.5,主治症状、应用举例、性味功能、生境分布、科属归类、药用部位,0.75
七叶树 Qiyeshu.txt,2025-05-13 10:35:42,中药名、药用植物,1.0,主治症状、应用举例,0.25
万寿竹 Wanshouzhu.txt,2025-05-13 10:36:43,中药名、药用植物,1.0,中药名、主治症状、性味功能、生境分布、科属归类、药用部位、采收加工,0.875
