文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一叶萩 Yiyeqiu.txt,2025-05-23 21:44:46,属、文献、疾病、科、药物类型、药用植物、药用部位,0.0,中药名、属于属、属于科、文献记载、治疗、药用部位,0.0
一把伞南星 Yibasannanxing.txt,2025-05-23 21:45:16,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-23 21:45:50,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
一点红 Yidianhong.txt,2025-05-23 21:46:13,属、文献、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
丁香 Dingxiang.txt,2025-05-23 21:46:40,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-23 21:46:57,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
七叶树 Qiyeshu.txt,2025-05-23 21:47:25,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
万寿竹 Wanshouzhu.txt,2025-05-23 21:47:48,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
万寿菊 Wanshouju.txt,2025-05-23 21:48:08,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
万年青 Wannianqing.txt,2025-05-23 21:48:35,属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
三分三 Sanfensan.txt,2025-05-23 21:48:59,属、文献、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
三叉苦 Sanchaku.txt,2025-05-23 21:49:26,中药名、属、文献、疾病、科、药用植物、药用部位,0.75,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
三叶木通 Sanyemutong.txt,2025-05-23 21:50:19,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
三白草 Sanbaicao.txt,2025-05-23 21:50:37,属、文献、疾病、科、药用植物、药用部位,0.75,属于属、属于科、文献记载、治疗、药用部位,0.8333333333333334
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-23 21:51:02,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
丝棉木 Simianmu.txt,2025-05-23 21:51:40,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
丝瓜 Sigua.txt,2025-05-23 21:52:10,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
两面针 Liangmainzhen.txt,2025-05-23 21:52:31,属、文献、疾病、科、药物类型、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
中华猕猴桃 Zhonghuamihoutao.txt,2025-05-23 21:53:13,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
中国无忧花 Zhongguowuyouhua.txt,2025-05-23 21:53:37,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
中国沙棘 Zhongguoshaji.txt,2025-05-23 21:53:57,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
中麻黄 Zhongmahuang.txt,2025-05-23 21:54:25,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
丹参 Danshen.txt,2025-05-23 21:54:52,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
乌头 Chuanwutou.txt,2025-05-23 21:55:16,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
乌头叶蛇葡萄 Wutouyesheputao.txt,2025-05-23 21:55:33,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
乌桕 Wujiu.txt,2025-05-23 21:56:05,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
乌毛蕨 Wumaojue.txt,2025-05-23 21:56:28,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
乌药 Wuyao.txt,2025-05-23 21:57:10,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
乌蔹莓 Wulianmei.txt,2025-05-23 21:57:39,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
乌蕨 Wujue.txt,2025-05-23 21:58:06,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
九头狮子草 Jiutoushizhicao.txt,2025-05-23 21:58:29,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
九里香 Jiulixiang.txt,2025-05-23 21:58:51,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
买麻藤 Maimateng.txt,2025-05-23 21:59:07,属、文献、疾病、科、药用植物、药用部位,0.75,属于属、属于科、文献记载、治疗、药用部位,0.8333333333333334
了哥王 Liaogewang.txt,2025-05-23 21:59:39,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
二色补血草 Ersebuxuecao.txt,2025-05-23 22:00:01,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
云南重楼 Chonglong.txt,2025-05-23 22:00:21,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
云木香 Yunmuxiang.txt,2025-05-23 22:00:43,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
五味子 Wuweizi.txt,2025-05-23 22:01:09,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
五爪金龙 Wuzhaojinlong.txt,2025-05-23 22:01:31,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
五色梅 Wusemei.txt,2025-05-23 22:02:17,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
亚麻 Yama.txt,2025-05-23 22:02:46,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
人参 Renshen.txt,2025-05-23 22:03:22,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
人面子 Renmianzi.txt,2025-05-23 22:03:51,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
仙人掌 Xianrenzhang.txt,2025-05-23 22:04:14,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
仙茅 Xianmao.txt,2025-05-23 22:04:42,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
代代花 Daidaihua.txt,2025-05-23 22:05:03,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
仪花 Yihua.txt,2025-05-23 22:05:26,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
伏生紫堇 Fushengzijin.txt,2025-05-23 22:05:48,中药名、属、文献、疾病、科、药物类型、药用植物、药用部位,1.0,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
伏石蕨 Fushijue.txt,2025-05-23 22:06:12,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
伞房花耳草 Sanfanghuaercao.txt,2025-05-23 22:06:32,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
何首乌 Heshouwu.txt,2025-05-23 22:07:04,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
余甘子 Yuganzi.txt,2025-05-23 22:07:30,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
佛手 Foshou.txt,2025-05-23 22:07:58,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
佛甲草 Fojiacao.txt,2025-05-23 22:08:25,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
佛肚树 Fodushu.txt,2025-05-23 22:08:57,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
佩兰 Peilian.txt,2025-05-23 22:09:23,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
使君子 Shijuzi.txt,2025-05-23 22:09:48,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
侧柏 Cebai.txt,2025-05-23 22:10:14,中药名、属、文献、疾病、科、药用植物、药用部位,0.875,中药名、属于属、属于科、文献记载、治疗、药用部位,1.0
