文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-16 18:59:26,功能、属、性味、疾病、科、药用植物、药用部位,0.7777777777777778,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.6666666666666666
一叶萩 Yiyeqiu.txt,2025-05-16 18:59:48,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7777777777777778
一品红 Yipinhong.txt,2025-05-16 19:00:07,功能、属、性味、疾病、科、药用植物、药用部位,0.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.0
一把伞南星 Yibasannanxing.txt,2025-05-16 19:00:37,功能、属、性味、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-16 19:01:11,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.8571428571428571
一点红 Yidianhong.txt,2025-05-16 19:01:45,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
丁香 Dingxiang.txt,2025-05-16 19:02:25,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-16 19:02:45,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
七叶树 Qiyeshu.txt,2025-05-16 19:03:25,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
万寿竹 Wanshouzhu.txt,2025-05-16 19:04:04,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、功能、属于属、属于科、药用部位为、记载于文献,0.875
万寿菊 Wanshouju.txt,2025-05-16 19:04:45,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
万年青 Wannianqing.txt,2025-05-16 19:05:47,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三七 Sanqi.txt,2025-05-16 19:06:45,功能、属、性味、疾病、药用植物、药用部位,0.75,主治疾病、具有功能、具有性味、功能、属于属、属于科、药用部位为、记载于文献,1.0
三分三 Sanfensan.txt,2025-05-16 19:08:04,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
