文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-16 21:22:08,中药名、功能、属、性味、用法、疾病、科、药用植物、药用部位、采收加工、采收时间,0.7857142857142857,主治疾病、具有功能、具有性味、外用、属于属、属于科、用法、药用部位为、采收加工、采收时间,0.38461538461538464
一叶萩 Yiyeqiu.txt,2025-05-16 21:22:16,功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.7857142857142857,主治疾病、具有功能、具有性味、内服、属于属、属于科、用法用量、药用部位为、记载于文献、采收时间,0.38461538461538464
一品红 Yipinhong.txt,2025-05-16 21:22:25,中药名、功能、属、性味、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.7857142857142857,中药名、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、用法用量、药用部位为、采收时间,0.4230769230769231
一把伞南星 Yibasannanxing.txt,2025-05-16 21:22:38,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8571428571428571,主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、应用举例、用法用量、药用部位为、采收加工,0.4230769230769231
一枝黄花 Yizhihuanghua.txt,2025-05-16 21:22:50,不宜与、中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.9285714285714286,不宜与、主治疾病、具有功能、具有性味、内服、包含中药、外用、属于属、属于科、用法用量、药用部位为、记载于文献、采收时间,0.5
一点红 Yidianhong.txt,2025-05-16 21:23:09,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9285714285714286,主治疾病、具有功能、具有性味、包含中药、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.5
丁香 Dingxiang.txt,2025-05-16 21:23:25,中药名、功能、属、性味、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.8571428571428571,中药名、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、用法用量、药用部位为、采收加工、采收时间,0.46153846153846156
七叶一枝花 Qiyeyizhihua.txt,2025-05-16 21:23:32,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8571428571428571,主治疾病、具有功能、具有性味、外用、属于属、属于科、用法用量、药用部位为、记载于文献、采收加工,0.38461538461538464
七叶树 Qiyeshu.txt,2025-05-16 21:23:45,不宜与、中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,1.0,不宜与、中药名、主治疾病、具有功能、具有性味、包含中药、属于属、属于科、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.5384615384615384
万寿竹 Wanshouzhu.txt,2025-05-16 21:23:57,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8571428571428571,中药名、主治疾病、具有功能、具有性味、内服、包含中药、外用、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献、采收时间,0.5769230769230769
万寿菊 Wanshouju.txt,2025-05-16 21:24:11,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8,主治疾病、具有功能、具有性味、内服、包含中药、外用、属于属、属于科、用法用量、药用部位为、记载于文献、采收时间,0.46153846153846156
万年青 Wannianqing.txt,2025-05-16 21:24:29,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9333333333333333,主治疾病、具有功能、具有性味、具有毒性、包含中药、外用、属于属、属于科、用法、用法用量、药用部位为、记载于文献,0.4444444444444444
三七 Sanqi.txt,2025-05-16 21:24:42,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.8666666666666667,不宜与、主治用法、主治疾病、具有功能、具有性味功能、内服、包含中药、外用、属于科、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.5185185185185185
三分三 Sanfensan.txt,2025-05-16 21:24:51,不宜与、中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.9333333333333333,不宜与、主治疾病、具有功能、具有性味、具有毒性、内服、外用、属于属、属于科、用法用量、药用部位为、采收时间,0.4444444444444444
三叉苦 Sanchaku.txt,2025-05-16 21:25:13,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8,中药名、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、用法用量、药用部位为、记载于文献、采收时间,0.4444444444444444
三叶木通 Sanyemutong.txt,2025-05-16 21:25:31,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9333333333333333,主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.4074074074074074
三白草 Sanbaicao.txt,2025-05-16 21:25:45,不宜与、中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.9333333333333333,不宜与、中药名、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.5185185185185185
