文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一叶萩 Yiyeqiu.txt,2025-05-23 21:43:48,属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
一把伞南星 Yibasannanxing.txt,2025-05-23 21:44:00,中药名、属、疾病、科、药用植物、药用部位,0.8333333333333334,属于属、属于科、治疗、药用部位,0.8
一枝黄花 Yizhihuanghua.txt,2025-05-23 21:44:09,中药名、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
一点红 Yidianhong.txt,2025-05-23 21:44:18,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.8
丁香 Dingxiang.txt,2025-05-23 21:44:31,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.8
七叶一枝花 Qiyeyizhihua.txt,2025-05-23 21:44:38,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.8
七叶树 Qiyeshu.txt,2025-05-23 21:44:46,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.8
万寿竹 Wanshouzhu.txt,2025-05-23 21:44:55,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.6666666666666666
万寿菊 Wanshouju.txt,2025-05-23 21:45:06,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
万年青 Wannianqing.txt,2025-05-23 21:45:18,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于、属于属、属于科、治疗、药用部位,1.0
三分三 Sanfensan.txt,2025-05-23 21:45:29,中药名、属、疾病、科、药用部位,0.7142857142857143,属于属、属于科、治疗、药用部位,0.6666666666666666
三叉苦 Sanchaku.txt,2025-05-23 21:45:41,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
三叶木通 Sanyemutong.txt,2025-05-23 21:46:00,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
三白草 Sanbaicao.txt,2025-05-23 21:46:07,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-23 21:46:16,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
丝棉木 Simianmu.txt,2025-05-23 21:46:34,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
丝瓜 Sigua.txt,2025-05-23 21:46:48,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
两面针 Liangmainzhen.txt,2025-05-23 21:46:56,属、疾病、科、药用植物、药用部位,0.7142857142857143,属于属、属于科、治疗、药用部位,0.6666666666666666
中华猕猴桃 Zhonghuamihoutao.txt,2025-05-23 21:47:13,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
中国无忧花 Zhongguowuyouhua.txt,2025-05-23 21:47:34,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
中国沙棘 Zhongguoshaji.txt,2025-05-23 21:47:44,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
中麻黄 Zhongmahuang.txt,2025-05-23 21:47:58,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
丹参 Danshen.txt,2025-05-23 21:48:08,中药名、属、疾病、科、药用部位,0.7142857142857143,属于属、属于科、治疗、药用部位,0.6666666666666666
乌头 Chuanwutou.txt,2025-05-23 21:48:22,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
乌头叶蛇葡萄 Wutouyesheputao.txt,2025-05-23 21:48:29,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
乌桕 Wujiu.txt,2025-05-23 21:48:42,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
乌毛蕨 Wumaojue.txt,2025-05-23 21:48:53,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
乌药 Wuyao.txt,2025-05-23 21:49:11,中药名、其他、属、疾病、科、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
乌蔹莓 Wulianmei.txt,2025-05-23 21:49:22,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
乌蕨 Wujue.txt,2025-05-23 21:49:33,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
九头狮子草 Jiutoushizhicao.txt,2025-05-23 21:49:41,其他、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
九里香 Jiulixiang.txt,2025-05-23 21:49:49,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
买麻藤 Maimateng.txt,2025-05-23 21:49:55,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
了哥王 Liaogewang.txt,2025-05-23 21:50:10,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
二色补血草 Ersebuxuecao.txt,2025-05-23 21:50:17,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,属于属、属于科、治疗、药用部位,0.6666666666666666
云南重楼 Chonglong.txt,2025-05-23 21:50:25,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
云木香 Yunmuxiang.txt,2025-05-23 21:50:35,中药名、属、疾病、科、药用植物、药用部位,0.8571428571428571,中药名、属于属、属于科、治疗、药用部位,0.8333333333333334
五味子 Wuweizi.txt,2025-05-23 21:50:44,中药名、其他、属、疾病、科、药用植物、药用部位,1.0,属于属、属于科、治疗、药用部位,0.6666666666666666
